SMILES,PEOE_VSA6,TPSA,NumHAcceptors,VSA_EState10,NumHDonors
O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,6.06636706846161,95.86000000000001,5,1.5014436267696547,3
CC1=C[C@@H](C(N)=O)N(C=O)C[C@@H]1NO[C@H](F)C(=O)O,11.649124636903148,121.96000000000002,5,0.0,3
C=C1CS[C@H]([C@H](NC(=O)CCC(=O)C23[C]4[C]5[C]6[C]2[Ru]56432789[C]3[C]2[C]7[C]8[C]39)C(=O)O)N=C1C(=O)O,0.0,133.13,6,1.1206936581526803,3
C=C1CS[C@H]([C@@H](C=O)NC(=O)/C(=N\OC)c2csc(N)n2)N=C1C(=O)O,11.734648410349038,156.32999999999998,10,2.303321189459356,3
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,44.179309741689295,124.44000000000001,6,0.0,4
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,37.04935417984628,98.66000000000001,4,11.705622105248414,4
CC(=O)NNC(=O)[C@@H]1CC[C@@H](NOS(=O)(=O)O)CN1C=O,0.0,154.14,7,0.0,4
O=CN1C[C@H](NOS(=O)(=O)O)CC[C@H]1C(=O)NO[C@H]1CCNC1,0.0,146.3,8,0.0,4
O=CN1C[C@H](NOS(=O)(=O)O)CC[C@H]1C(=O)NNC(=O)C1CNC1,0.0,166.17000000000002,8,0.0,5
O=C(O)c1cccc2c1OB(O)[C@@H](NC(=O)C1CCCCC1)C2,31.39519900570125,95.86000000000001,4,0.0,3
O=CN1C[C@H](NOS(=O)(=O)O)CC[C@H]1C(=O)NC1CCNCC1,0.0,137.07000000000002,7,0.0,4
NCCN[C@H]1CC[C@H](CC(=O)N[C@H]2Cc3cccc(C(=O)O)c3OB2O)CC1,12.13273413692322,133.91,6,0.0,5
C[C@](Cn1ccnn1)([C@@H](/N=C/CC(=O)O)C(=O)O)[S-](=O)=O,22.84127963038487,151.81,9,0.0,2
C[C@@H]1C([C@H](C=O)[C@@H](C)O)=N[C@@H](C(=O)O)[C@@H]1S[C@@H]1CN[C@@H](C(=O)Nc2cccc(C(=O)O)c2)C1,12.990104268152233,165.39,8,1.423337897371988,5
O=C(O)C[C@H]1C=CC[C@H](NC(=O)Cc2cccs2)B(O)O1,18.218407282129373,95.86000000000001,5,1.4915735136009305,3
O=CC/C=N/[C@H](C(=O)O)C(=O)CCO,0.0,104.03000000000002,5,0.0,2
CO/N=C(\C(=O)N[C@H](C=O)[C@@H]1N[C@H](C(=O)O)[C@H](CS)CS1)c1csc(N)n1,5.15571272675054,156.0,11,6.637541186659139,5
CC1(C)S[C@@H]([C@H](C=O)NC(=O)[C@@H](N)c2ccccc2)N[C@H]1C(=O)O,30.33183534230805,121.52,6,1.307730484168976,4
COC(=O)CC1=C(C(=O)O)N[C@@H]([C@@H](C=O)NC(=O)Cc2cccs2)SC1,6.06636706846161,121.80000000000001,8,2.6790755334121688,3
CC1(C)S[C@H]([C@@H](C=O)NC(=O)Cc2ccccc2)N[C@H]1C(=O)O,30.33183534230805,95.50000000000001,5,1.3473185416141764,3
C=C1CS[C@H]([C@@H](C=O)NC(=O)Cc2cccs2)N=C1C(=O)O,12.645302752060108,95.83,6,2.7362371501120597,2
C[C@H](NS(=O)(=O)O)[C@@H](C=O)NC(=O)/C(=N\OC(C)(C)C(=O)O)c1csc(N)n1,5.15571272675054,210.37,10,0.9683093694191275,5
OB(O)c1cc2ccccc2s1,18.19910120538483,40.46,3,1.4053703703703702,2
NCCONC(=O)[C@@H]1CC[C@@H](NOS(=O)(=O)O)CN1C=O,0.0,160.29,8,0.0,4
NCc1ccc2sc(B(O)O)cc2c1,6.06636706846161,66.48,4,1.3837452758881328,3
[H][S@TB19](O)(O)[C@@](C)(C(=O)OCC(N)=O)[C@@H](N/C=C/C=O)C(=O)O,0.0,176.24999999999997,8,-4.535161682728646,6
O=[N+]([O-])c1cccc(B(O)O)c1,12.13273413692322,83.60000000000001,4,0.0,2
O=C(Cc1cccs1)N[C@@H](Cn1cc(C(=O)O)nn1)B(O)O,11.279752164116477,137.57,8,1.4186015485803543,4
O=C(O)/C=C/c1ccccc1B(O)O,24.26546827384644,77.76,3,0.0,3
N#C[C@@H]1CC[C@@H](NOS(=O)(=O)O)CN1C=O,0.0,119.72999999999999,6,0.0,2
O=CN1C[C@H](NOS(=O)(=O)O)CC[C@H]1C(=O)NNC(=O)[C@@H]1CCCNC1,0.0,166.17000000000002,8,0.0,5
O=CN1C[C@H](NOS(=O)(=O)O)CC[C@H]1C(=O)NNC(=O)[C@@H]1CCNC1,0.0,166.17000000000002,8,0.0,5
